Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Timeframe
01/01/2020,Oneoff,30.SB,30,sbonds,40000.0,253.28,157,1
01/01/2020,Oneoff,30.GO,30,gold,0.0,143.95,0,1
01/01/2020,Oneoff,30.CA,30,cash,0.0,1,0,1
01/01/2020,Oneoff,31.ST,31,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,31.CB,31,cbonds,50000.0,77.58,644,1
01/01/2020,Oneoff,31.SB,31,sbonds,45000.0,253.28,177,1
01/01/2020,Oneoff,31.GO,31,gold,0.0,143.95,0,1
01/01/2020,Oneoff,31.CA,31,cash,0.0,1,0,1
01/01/2020,Oneoff,32.ST,32,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,32.CB,32,cbonds,45000.0,77.58,580,1
01/01/2020,Oneoff,32.SB,32,sbonds,50000.0,253.28,197,1
01/01/2020,Oneoff,32.GO,32,gold,0.0,143.95,0,1
01/01/2020,Oneoff,32.CA,32,cash,0.0,1,0,1
01/01/2020,Oneoff,33.ST,33,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,33.CB,33,cbonds,40000.0,77.58,515,1
01/01/2020,Oneoff,33.SB,33,sbonds,55000.00000000001,253.28,217,1
01/01/2020,Oneoff,33.GO,33,gold,0.0,143.95,0,1
01/01/2020,Oneoff,33.CA,33,cash,0.0,1,0,1
01/01/2020,Oneoff,34.ST,34,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,34.CB,34,cbonds,35000.0,77.58,451,1
01/01/2020,Oneoff,34.SB,34,sbonds,60000.0,253.28,236,1
01/01/2020,Oneoff,34.GO,34,gold,0.0,143.95,0,1
01/01/2020,Oneoff,34.CA,34,cash,0.0,1,0,1
01/01/2020,Oneoff,35.ST,35,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,35.CB,35,cbonds,30000.0,77.58,386,1
01/01/2020,Oneoff,35.SB,35,sbonds,65000.0,253.28,256,1
01/01/2020,Oneoff,35.GO,35,gold,0.0,143.95,0,1
