Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Purchase_num,Timeframe
17/02/2020,oneoff-rebal.,3.1.ST,3,stocks,0.0,205.91,0.0,0.0,12
17/02/2020,oneoff-rebal.,3.1.CB,3,cbonds,91586.22,79.09,1157.0,0,12
17/02/2020,oneoff-rebal.,3.1.SB,3,sbonds,0.0,262.58,0.0,0.0,12
17/02/2020,oneoff-rebal.,3.1.GO,3,gold,0.0,150.91,0.0,0.0,12
17/02/2020,oneoff-rebal.,3.1.CA,3,cash,10104.0,1,10169.0,65.0,12
16/03/2020,oneoff-rebal.,3.2.ST,3,stocks,0.0,140.35,0.0,0.0,12
16/03/2020,oneoff-rebal.,3.2.CB,3,cbonds,88128.69,76.17,1161.0,304.68,12
16/03/2020,oneoff-rebal.,3.2.SB,3,sbonds,0.0,263.43,0.0,0.0,12
16/03/2020,oneoff-rebal.,3.2.GO,3,gold,0.0,141.64,0.0,0,12
16/03/2020,oneoff-rebal.,3.2.CA,3,cash,10169.0,1,9829.0,0.0,12
15/04/2020,oneoff-rebal.,3.3.ST,3,stocks,0.0,165.54,0.0,0.0,12
15/04/2020,oneoff-rebal.,3.3.CB,3,cbonds,92009.25,79.25,1156.0,0,12
15/04/2020,oneoff-rebal.,3.3.SB,3,sbonds,0.0,265.41,0.0,0.0,12
15/04/2020,oneoff-rebal.,3.3.GO,3,gold,0.0,161.85,0.0,0.0,12
15/04/2020,oneoff-rebal.,3.3.CA,3,cash,9829.0,1,10183.0,354.0,12
15/05/2020,oneoff-rebal.,3.4.ST,3,stocks,0.0,171.16,0.0,0.0,12
15/05/2020,oneoff-rebal.,3.4.CB,3,cbonds,93890.31999999999,81.22,1153.0,0,12
15/05/2020,oneoff-rebal.,3.4.SB,3,sbonds,0.0,268.33,0.0,0.0,12
15/05/2020,oneoff-rebal.,3.4.GO,3,gold,0.0,163.93,0.0,0.0,12
15/05/2020,oneoff-rebal.,3.4.CA,3,cash,10183.0,1,10407.0,224.0,12
15/06/2020,oneoff-rebal.,3.5.ST,3,stocks,0.0,177.85,0.0,0.0,12
15/06/2020,oneoff-rebal.,3.5.CB,3,cbonds,94211.62999999999,81.71,1152.0,0,12
15/06/2020,oneoff-rebal.,3.5.SB,3,sbonds,0.0,262.84,0.0,0.0,12
15/06/2020,oneoff-rebal.,3.5.GO,3,gold,0.0,162.33,0.0,0.0,12
15/06/2020,oneoff-rebal.,3.5.CA,3,cash,10407.0,1,10461.0,54.0,12
15/07/2020,oneoff-rebal.,3.6.ST,3,stocks,0.0,186.19,0.0,0.0,12
15/07/2020,oneoff-rebal.,3.6.CB,3,cbonds,96042.24,83.37,1149.0,0,12
15/07/2020,oneoff-rebal.,3.6.SB,3,sbonds,0.0,261.74,0.0,0.0,12
15/07/2020,oneoff-rebal.,3.6.GO,3,gold,0.0,170.34,0.0,0.0,12
15/07/2020,oneoff-rebal.,3.6.CA,3,cash,10461.0,1,10650.0,189.0,12
17/08/2020,oneoff-rebal.,3.7.ST,3,stocks,0.0,186.67,0.0,0.0,12
17/08/2020,oneoff-rebal.,3.7.CB,3,cbonds,93689.46,81.54,1151.0,163.08,12
17/08/2020,oneoff-rebal.,3.7.SB,3,sbonds,0.0,256.41,0.0,0.0,12
17/08/2020,oneoff-rebal.,3.7.GO,3,gold,0.0,186.5,0.0,0,12
17/08/2020,oneoff-rebal.,3.7.CA,3,cash,10650.0,1,10433.0,0.0,12
15/09/2020,oneoff-rebal.,3.8.ST,3,stocks,0.0,188.44,0.0,0.0,12
15/09/2020,oneoff-rebal.,3.8.CB,3,cbonds,95648.09999999999,83.1,1148.0,0,12
15/09/2020,oneoff-rebal.,3.8.SB,3,sbonds,0.0,257.08,0.0,0.0,12
15/09/2020,oneoff-rebal.,3.8.GO,3,gold,0.0,183.45,0.0,0.0,12
