asset alloc,method,timeframe,cost,volatility,return
71,Oneoff,1,0.2319210345,1.4277300237,1.9299542087
71,oneoff-rebal.,1,0.2318089515,2.1665898179,1.9318135842
72,DCA,1,0.2304352339,1.5119563536,1.9938359567
72,DCA-rebalance,1,0.2304352339,2.2748917494,1.9938359567
72,Oneoff,1,0.2304352339,1.5119563536,1.9938359567
72,oneoff-rebal.,1,0.2304352339,2.2748917494,1.9938359567
73,DCA,1,0.2291661554,1.5891604824,2.0498857351
73,DCA-rebalance,1,0.2290725555,2.3575135952,2.0512002719
73,Oneoff,1,0.2291661554,1.5891604824,2.0498857351
73,oneoff-rebal.,1,0.2290725555,2.3575135952,2.0512002719
74,DCA,1,0.2279207433,1.6645107875,2.1033685695
74,DCA-rebalance,1,0.2279207433,2.4569524616,2.1033685695
74,Oneoff,1,0.2279207433,1.6645107875,2.1033685695
74,oneoff-rebal.,1,0.2279207433,2.4569524616,2.1033685695
75,DCA,1,0.2267699366,1.7346507743,2.1521825115
75,DCA-rebalance,1,0.2267699366,2.5417450904,2.1521825115
75,Oneoff,1,0.2267699366,1.7346507743,2.1521825115
75,oneoff-rebal.,1,0.2267699366,2.5417450904,2.1521825115
76,DCA,1,0.2257170644,1.8010283210,2.1974207748
76,DCA-rebalance,1,0.2257170644,2.6225358426,2.1974207748
76,Oneoff,1,0.2257170644,1.8010283210,2.1974207748
76,oneoff-rebal.,1,0.2257170644,2.6225358426,2.1974207748
77,DCA,1,0.2248050653,1.8616934703,2.2378699828
77,DCA-rebalance,1,0.2248050653,2.6967973030,2.2378699828
77,Oneoff,1,0.2248050653,1.8616934703,2.2378699828
77,oneoff-rebal.,1,0.2248050653,2.6967973030,2.2378699828
78,DCA,1,0.2238925686,1.9196631468,2.2764892916
78,DCA-rebalance,1,0.2238925686,2.7681061628,2.2764892916
78,Oneoff,1,0.2238925686,1.9196631468,2.2764892916
78,oneoff-rebal.,1,0.2238925686,2.7681061628,2.2764892916
79,DCA,1,0.2767272983,1.4297747466,0.5472250495
79,DCA-rebalance,1,0.2767272983,2.1783809793,0.5472250495
79,Oneoff,1,0.2767272983,1.4297747466,0.5472250495
79,oneoff-rebal.,1,0.2767272983,2.1783809793,0.5472250495
80,DCA,1,0.2708986940,1.1804304125,0.7604607358
